input_text	target_text
Dick	딕
shocking	쇼킹
Jasper County	재스퍼 카운티
colloid	콜로이드
audiotex	오디오텍스
South Amana	사우스 아마나
Hudson	허드슨
Muleshoe	뮬슈
Dillon	딜런
bridge	브리지
Stevens	스티븐스
anode	애노드
Pine Mountain Valley	파인 마운틴 밸리
Greenlee County	그린리 카운티
girl	걸
relay	릴레이
Broadway	브로드웨이
Bolivar	볼리버
Jones Chapel	존스채플
sweet sultan	스위트술탄
Waterfall	워터폴
kiloliter	킬로리터
Belle	벨
Chancellor	챈슬러
stewardess	스튜어디스
Aleh	앨리
Pulaski County	풀라스키 카운티
cyborg	사이보그
core time	코어타임
pergola	퍼걸러
Scammon Bay	스캐먼 베이
Friendswood	프렌즈우드
MUX	먹스
fiber optics	파이버옵틱스
LaCrosse	라크로스
AAM	에이에이엠
air dome	에어돔
Miami Dolphins	마이애미 돌핀스
Kappa	카파
Duvalier	뒤발리에
cost inflation	코스트인플레이션
Lost River	로스트 리버
Wales	웨일스
Kinston	킨스턴
superstar	슈퍼스타
Sandoval County	산도발 카운티
Collinwood	콜린우드
Claude Simon	클로드 시몽
pudding	푸딩
massaga	마사지
creek	크리크
washer	와셔
Bouton	보턴
Perris	페리스
Phippsburg	핍스버그
Wister	위스터
Scott Richmond	스콧 리치먼드
valve	밸브
Acton	액턴
Miyazaki	미야자키
Whitfield County	휘트필드 카운티
Pupin	푸핀
Canby	캔비
Grandal	그란달
Keswick	케스윅
troche	트로키
Deva	데바
Tupelo	투펠로
Schuyler	스카일러
New Athens	뉴애선스
'Ubaid	우바이드
Michael Bishop	마이클 비숍
Harding County	하딩 카운티
glyceride	글리세리드
Grover	그로버
Midland City	미드랜드시티
Martindale	마틴데일
Lindale	린데일
Riverton	리버턴
Emanuel	이매뉴얼
Pig	피그
Watt	와트
Center	센터
foundation	파운데이션
Florahome	플로라홈
Mill Valley	밀 밸리
Muawiyah	무아위야
Hakodate	하코다테
ounce	온스
glove	글러브
Rio	리오
Hillisburg	힐스버그
Raymond	레이먼드
Mystic	미스틱
Edinburgh	에딘버그
Manitowoc	매니토웍
Biddeford	비드퍼드
Markle	마클
Plano	플레이노
radiometer	라디오미터
Cuba Street	쿠바스트리트
Dalcroze	달크로즈
right back	라이트백
Heber	히버
Sullivan County	설리번 카운티
Santa Fe	산타 페
Elmwood	엘름우드
Erie	이리
Abbott	애벗
Groton	그로턴
Columbia	컬럼비아
Dickinson	디킨슨
Rhodes	로즈
hump	험프
Cleveland County	클리블랜드 카운티
Piazzetta	피아체타
McCarthy	매카시
Bauxite	보크사이트
Woolsey	울지
Conran	콘란
Giamatti	지어마티
Arnhem Land	아넘랜드
Chillicothe	칠리코시
Castro	카스트로
Daniel	대니얼
ERP	이아르피
Cass County	캐스 카운티
Buena Vista	부에나 비스타
Bumpus Mills	범퍼스밀스
chipping	치핑
Pittston	피츠턴
Carbon County	카본 카운티
Borstal system	보스틀시스템
Trinidad	트리니다드
Mammoth	매머드
Bippus	비퍼스
Portage County	포티지 카운티
Lachlan Renshaw	라클런 렌쇼
Sam	샘
Roseville	로즈빌
Shaun van Rooyen	숀 밴 루옌
Pecan Island	피컨 아일랜드
Grisi	그리지
Crestwood	크레스트우드
Code Red	코드레드
Eden Valley	에덴 밸리
Marlene	마를레네
Emery	에머리
Meadowview Estates	메도우뷰 에스테이츠
peroxysome	페르옥시솜
Randlett	랜들릿
Haverhill	해버힐
knock	노크
Big Bone	빅 본
stop	스톱
Zarephath	제어패스
Central City	센트럴시티
kickball	킥볼
Ohio	오하이오
Baneberry	베인베리
Boring	보링
tartan	타탄
El Dara	엘다라
EP hormone	이피 호르몬
short coat	쇼트코트
key point	키포인트
Teniers	테니르스
approach	어프로치
Tom	톰
Bedford County	베드퍼드 카운티
Satsuma	샛수마
Finlandia	핀란디아
drum machine	드럼머신
shoulder pass	숄더패스
Haney	해니
Mohler	몰러
Cass	캐스
Ibn Rushd	이븐루시드
Patricia	퍼트리샤
Grin	그린
Ricky	리키
Wells County	웰스 카운티
Clallam Bay	클랠럼 베이
Chloe	클로에
selfi	셀피
Fernley	펀리
Gregorka	그리고카
Laredo	러레이도
Mountain View	마운틴뷰
coaching staff	코칭스태프
Crichton	크라이턴
can	캔
Titchener	티치너
capitalism	캐피탈리즘
LaMoure County	라무르 카운티
Litchfield	리치필드
Berrytown	베리타운
Kempis	켐피스
Berlin	베를린
Beardstown	비어즈타운
Vitoria	비토리아
Alamogordo	앨라모고도
high-key tone	하이키톤
Red Lake Falls	레드 레이크 폴스
Taos	타오스
circular skirt	서큘러스커트
swordfish	소드피시
velvet	벨벳
end line	엔드라인
Salvatore Quasimodo	살바토레 콰시모도
scoring	스코어링
Lilongwe	릴롱궤
Gardiner	가디너
Kincheloe	킨치로이
Steven	스티븐
Earle	얼
Millerton	밀러턴
Seminole	세미놀
Alan J	앨런
pop	팝
albuminoid	알부미노이드
Dobbin	도빈
Aelfric	앨프릭
Turner	터너
Fayetteville	페이엇빌
Dryden	드라이든
Garden County	가든 카운티
Grid	그리드
Nason	네이슨
Harlem	할렘
Mason City	메이슨시티
Amen	아멘
Blunt	블런트
College Ward	칼리지워드
NIKI	니키
Chevrolet	쉐보레
Attica	애티카
Spalding County	스폴딩 카운티
helicity	헬리시티
Il'in	일린
Willow	윌로우
guidebook	가이드북
Spring Park	스프링파크
episode	에피소드
Barton County	바턴 카운티
spectroheliograph	스펙트로헬리오그래프
disco	디스코
Holcombe	홀콤
Chelan County	첼랜 카운티
contents	콘텐츠
Wendell	웬들
health club	헬스클럽
Amity	아미티
Thomas	토머스
Crabapple	크래브애플
Mary	메리
Delaware	델라웨어
Logan County	로건 카운티
Boeing	보잉
Toronto	토론토
Paul	폴
Hartwick	하트윅
cobalt	코발트
Armuchee	아머치
Ross	로스
Bernard de Clairvaux	베르나르 드 클레르보
pancreozymin	판크레오지민
Warner	워너
crab bucket	크래브버킷
Marshall	마셜
Bastrop County	배스트롭 카운티
Hoeven	호븐
pylon	파일론
Harrison County	해리슨 카운티
Verbena	베르베나
bouquet	부케
Greeley County	그릴리 카운티
Banda Aceh	반다아체
Bruce	브루스
Furnace	퍼니스
Andre	앤드리
Glyn	글린
Bartlett	바틀릿
coffee	커피
Gordon	고든
cover	커버
prothrombin	프로트롬빈
Delong	들롱
Iola	아이올라
Cleburne	클리번
Wellston	웰스턴
Eric Kandel	에릭 캔들
Rockmart	록마트
dioxin	다이옥신
Redington Shores	레딩턴쇼어스
Central High	센트럴 하이
Fairholm	페어홀름
St. James Parish	세인트 제임스 패리시
Kite	카이트
burst	버스트
Fever	피버
Newcomb	뉴컴
oil gas	오일가스
Union Star	유니언 스타
dresser	드레서
gossip	가십
rap music	랩 뮤직
Gadsden County	개즈던 카운티
denomination	디노미네이션
West Glamorgan	웨스트글러모건
laminarin	라미나린
Benton County	벤턴 카운티
Old River-Winfree	올드 리버-윈프리
hexamethylenetetramine	헥사메틸렌테트라민
St.Louis County	세인트루이스 카운티
Bahaism	바하이즘
College Station	칼리지 스테이션
Pinedale	파인데일
journal	저널
Red Springs	레드스프링스
Pineview	파인뷰
New Idria	뉴 이드리아
Switzerland	스위철랜드
Lafayette	라피엣
vent	벤트
Jones	존스
Dehesa	데헤사
Garwood	가우드
Bee	비
Karlsruhe	카를스루에
Reddick	레딕
Sun City	선 시티
Vernal	버널
Bell Center	벨센터
Jasper County	재스퍼 카운티
gray level	그레이레벨
Reagan	레이건
Prosper	프로스퍼
Greenville	그린빌
internet cafe	인터넷카페
repeat	리피트
cannabis	칸나비스
Cardwell	카드웰
Aulander	오랜더
Hysham	하이샴
methaqualone	메타콸론
Dodge City	도지시티
Michael	마이클
Noah	노아
Caribou County	카리부 카운티
Marana	마라나
Lilly	릴리
Hand County	핸드 카운티
Bond County	본드 카운티
Willsboro	윌즈버러
Hialeah Gardens	하이얼리아가든스
Matthew Spiranovic	매슈 스피라노비치
Foxborough	폭스버러
Antwerp	앤트워프
Aledo	얼리도
orangutan	오랑우탄
Locke	로크
Christopher	크리스토퍼
Hockley County	호클리 카운티
Gissing	기싱
topper	토퍼
Pukekohe	푸케코헤
Germantown	저먼타운
core	코어
ROI	아르오아이
Peter	피터
ylang-ylang	일랑일랑
panavision	파나비전
Dresden	드레스덴
Hatcher	해쳐
China Grove	차이나 그로브
Ladonia	라도니아
Savage-Rumbaugh	새비지럼보
Arcos	아르코스
Reeves County	리브스 카운티
Eck	에크
Cloverdale	클로버데일
Newburgh	뉴버그
Big Piney	빅 파이니
Covington	커빙턴
Droysen	드로이젠
Harrison County	해리슨 카운티
billing system	빌링시스템
Belfair	벨페어
education	에듀케이션
Ingalls	잉갈스
Viola	비올라
Crazy Horse	크레이지 호스
Boggs	보그스
Bloomingville	블루밍빌
Bon Homme County	본 옴 카운티
Schneider	슈나이더
melody	멜로디
Diana	다이애나
UNF	유엔에프
Cloud Lake	클라우드레이크
Tolstoi	톨스토이
Amity	아미티
Newcomb	뉴콤
Ethier	이시어
Flanders	플랜더스
spyware	스파이웨어
ion pump	이온펌프
Palestine	팔레스타인
miniskirt	미니스커트
size	사이즈
Kenna	켄나
Mark	마크
spare seat	스페어시트
Biggs	빅스
Pepys	피프스
Santa Elena	산타 엘레나
Lathrop	라스롭
Willard	윌러드
Together	투게더
Buffalo Bills	버펄로 빌스
Breaux Bridge	브로 브리지
Noah	노아
Puuwai	푸와이
Rains County	레인스 카운티
Hennepin	헤너핀
nitromethane	니트로메탄
slice ball	슬라이스볼
Victor	빅터
Poplar	포플라
Stokowski	스토코프스키
IMF position	아이엠에프 포지션
Somerville	서머빌
Cascade	캐스케이드
frame up	프레임업
Lewinsky	르윈스키
Vandervoort	밴더부트
UMP	유엠피
interior	인테리어
Argos	아르고스
langshan	랑산
Held	헬드
New Philadelphia	뉴 필라델피아
jazz	재즈
Bryce Canyon City	브라이스캐니언시티
congeliturbate	콘젤리터베이트
La Crosse	라크로스
Crowd	크라우드
Coffeyville	커피빌
Pacino	파치노
Rene	러네이
Red Willow County	레드 윌로 카운티
Kirk	커크
Cornersville	코너스빌
long ton	롱톤
nitroglycerin	니트로글리세린
level	레벨
belladonna	벨라도나
Lamont	라몬트
magic eye	매직아이
Evan	에번
action drama	액션 드라마
neo-dadaism	네오다다이즘
Bonaparte	보나파르트
Cross Roads	크로스 로즈
Robert	로버트
Lee County	리 카운티
Soda Springs	소다 스프링스
Interior	인테리어
Abu Sayyaf	아부 사야프
Foresta	포레스타
Molotov Plan	몰로토프플랜
Chris	크리스
stardom	스타덤
vitalism	바이털리즘
trade	트레이드
peaked lapel	피크트라펠
actinoid	악티노이드
Helsinki	헬싱키
Detroit	디트로이트
nurse	너스
Woodbine	우드바인
Brewster	브루스터
Jackman	잭맨
Tombstone	툼스톤
caterpillar tractor	캐터필러트랙터
Telegraph Creek	텔레그라프크릭
Sanderson	샌더슨
Forks	포크스
Johann Chritian Friedrich	요한 크리스티안 프리드리히
Dover	도버
Boistfort	보이스트포트
maxi skirt	맥시스커트
John James	존 제임스
Ruskin	러스킨
Veblen	베블런
Scotland	스코틀랜드
Savoy	사보이
Eagle	이글
Valois	밸루아
cassette tape	카세트테이프
LEVI	리바이
Wharton	훠턴
Vera	비라
Mount Pleasant	마운트플레전트
Upson	업슨
Wetumka	위툼카
Old Salem	올드 세일럼
Tilghman	틸먼
Payne	페인
Martin	마틴
Minneola	미니올라
Neosho County	네오쇼 카운티
straight hitting	스트레이트히팅
Dimmit	디밋
Miller	밀러
Machiavellism	마키아벨리즘
Sycamore Valley	시카모어 밸리
Grayson	그레이슨
hydria	히드리아
Mu	무
Tieton	타이턴
Nesbitt	네즈빗
Lookingglass	루킹글라스
Scherzer	셔저
Hill	힐
Little Sioux	리틀 수
Century	센추리
Philippe	필리프
Winona County	위노나 카운티
journalism	저널리즘
unhappy	언해피
propylene	프로필렌
Bledsoe County	블레드소 카운티
Johnson	욘존
Paul Ehrlich	파울 에를리히
Howard County	하워드 카운티
concert grand	콘서트그랜드
caking	케이킹
Willis	윌리스
Wewahitchka	위워히치카
Tulsa	털사
Branford	브랜포드
Edwards	에드워즈
route-map	루트맵
Piero della Francesca	피에로 델라프란체스카
Gall	갈
Trans Caspian	트란스카스피안
La Center	라 센터
Jefferson City	제퍼슨시티
PROLOG	프롤로그
Washington County	워싱턴 카운티
Port Arthur	포트아서
Taylor	테일러
Kristin Heaston	크리스틴 히스턴
Marengo	머렝고
chlorophyllin	클로로필린
screen	스크린
rabbit ball	래빗볼
backgammon	백개먼
Black Springs	블랙스프링스
Matfield Green	매트필드 그린
Attala County	아탈라 카운티
Kirkwood	커크우드
Daviess	데이비스
carboxylase	카르복실라아제
Krylov	크릴로프
New Denmark	뉴덴마크
Brent	브렌트
Napier	네이피어
Parkville	파크빌
egoism	에고이즘
no	노
Deer Park	디어 파크
Whangarei	황거레이
isoleucine	이소류신
Ladbrokes	래드브룩스
Sandel	샌델
Groom	그룸
Hoover	후버
Rome City	롬 시티
skunk	스컹크
Hillsboro	힐스보로
cursor	커서
Musset	뮈세
Kennebec County	케네벡 카운티
Sewell	슈얼
Appleton	애플턴
bucket conveyer	버킷컨베이어
Hunter	헌터
gable	게이블
Paula	폴라
Silverado Canyon	실베라도 캐년
perfect	퍼펙트
X-ray	엑스레이
Thurber	서버
Ellijay	일라제이
bus	버스
cadmium	카드뮴
user	유저
carcinoid	카르시노이드
Amenia	아메니아
Overall	오버올
propane	프로판
Watha	와사
chlordane	클로르데인
Logan County	로건 카운티
Rutherford College	루서포드 칼리지
Tullahoma	털러호마
Paul Burgess	폴 버지스
DOS	도스
Baleares	발레아레스
alto trombone	알토트롬본
Nebraska	네브래스카
Slanesville	슬레인스빌
pinking	핑킹
Templeton	템플턴
Round Rock	라운드록
nitramine	니트라민
Ecru	에크루
Minnesota	미네소타
Mattos	매토스
Zephyrhills	제퍼힐스
Sierra Blanca	시에라블랭카
Isaac Bashevis Singer	아이작 바셰비스 싱어
Breslau	브레슬라우
cinnamon	시나몬
box	복스
Vega	베가
Williams	윌리엄스
Beddoes	베도스
Glencoe	글렌코
Battiest	배티스트
Kintyre	킨타이어
Lac La Belle	락 라 벨
Justin	저스틴
Volterra	볼테라
WebPad	웹패드
torque motor	토크모터
glam fashion	글램패션
tuck	턱
Olive Hill	올리브힐
Delphi	델파이
CHINCOM	친콤
Grayson	그레이슨
Laski	래스키
Outlook	아웃룩
Stoicism	스토이시즘
Douglass	더글러스
Battani	바타니
Talbot	탤버트
Stopover	스탑오버
gasoline pump	가솔린펌프
Siloam	실로암
Crelle	크렐레
zero	제로
help	헬프
Spergel	스퍼걸
Viracocha	비라코차
Ypsilanti	입실란티
Ivey	아이비
coxswain	콕스웨인
Draper	드레이퍼
Saint-Just	생쥐스트
Fallon	팰런
Gatewood	게이트우드
Findlay	핀들레이
metalloid	메탈로이드
Dutchess County	더치스 카운티
Banks	뱅크스
Giles	자일스
Prakrit	프라크리트
Midvale	미드베일
Parrish	패리시
Jefferson County	제퍼슨 카운티
rifamycin	리파마이신
totemism	토테미즘
Ernesto Teodoro Moneta	에르네스토 테오도로 모네타
Bridgeport	브리지포트
Chama	차마
Rick	릭
penalty area	페널티에어리어
candy	캔디
Chirlane	셜레인
Lakewood Village	레이크우드빌리지
Yakima	얘키모
Ryback	라이백
Stockton	스톡턴
T-shirts	티셔츠
Albert Mount	앨버트 마운트
Junius	주니어스
held ball	헬드볼
Victor	빅터
analogue computer	아날로그 컴퓨터
New Berlin	뉴 베를린
Ashgabat	아슈하바드
gossip	가십
torbanite	토버나이트
East Lyme	이스트라임
filing system	파일링시스템
linen	리넨
Moby Dick	모비 딕
Dupont	듀폰트
Red Rock	레드 록
Musella	무젤라
short track	쇼트트랙
roots	루츠
Conneaut	코니어트
Hines	하인스
Manson	맨슨
Benko	벵코
Cascadia	캐스캐디아
Moerner	머너
tonometer	토노미터
Dupleix	뒤플렉스
Topeka	토피카
San Ramon	샌 라몬
Gottwald	고트발트
Boston	보스턴
Bioko	비오코
Benny	베니
West Yellowstone	웨스트옐로스톤
Excelsior	엑셀시오
follow through	폴로스루
Ft Wayne	포트웨인
Lemmon	레먼
Kansas City Chiefs	캔자스시티 치프스
shake hand	세이크 핸드
Vance Creek	밴스크리크
kilometer	킬로미터
McClain	매클레인
Clarksville City	클라크스빌시티
Hobson	홉슨
Tintoretto	틴토레토
dadaist	다다이스트
Paris	파리
Moro Bay	모로 베이
Grandin	그랜딘
Delafield	델라필드
Appleton	애플턴
Waltari	발타리
Henry	헨리
Mendon	멘던
Drinkwater	드링크워터
Moscow	모스코
Dayton	데이턴
chest voice	체스트보이스
Golden Beach	골든비치
Indian Springs Village	인디언 스프링스 빌리지
green	그린
Shapley	섀플리
Combine	콤바인
Mason	메이슨
social overhead cost	소셜오버헤드코스트
New Berlin	뉴 베를린
Smith	스미스
Assisi	아시시
Natalie	내털리
training	트레이닝
Amy	에이미
Ira	이라
Murphy	머피
Elbow	엘보
brake	브레이크
Mitchell	미첼
Shelly	셸리
Doerner	도너
Park	파크
Donna Shalala	도나 섈레일라
La Verkin	라 버킨
tango	탱고
Hornsby	혼스비
bunt	번트
Bryan	브라이언
Gouldsboro	굴즈버로
Lucan	루칸
Cayo Coco	카요코코
Wellton	웰턴
impossible	임파서블
Washoe County	와슈 카운티
summer	서머
Tikitiki	티키티키
Stanley County	스탠리 카운티
Reside	리사이드
Codington County	코딩턴 카운티
Rama	라마
Cairns	케언스
migraenin	미그레닌
Santa Clara	산타 클라라
MPEG	엠펙
silk glue	실크글루
Dickson	딕슨
Greenwood	그린우드
lipotropin	리포트로핀
Troutdale	트라우트데일
El Dorado	엘더레이도
Jay	제이
Reese	리스
starting block	스타팅블록
Brilliant	브릴리언트
Fort Sumner	포트 섬너
deuce	듀스
Roslyn	로즐린
homeroom	홈룸
John	존
Pearl Buck	펄 벅
Lane County	레인 카운티
Casa Blanco	카사 블랑코
Knickerbocker	니커보커
Big Four	빅 포
Deerwood	디어우드
Edgewood	에지우드
day trader	데이 트레이더
merchant bank	머천트뱅크
Kadet	카데트
programming	프로그래밍
Rattan	레이턴
Husseini	후세이니
Pleasant Hill	플레전트 힐
Salina	설라이나
coupling	커플링
FairfieldBridgeport	페어필드
ketose	케토오스
Leesburg	리즈버그
Huron	휴런
Brazil	브라질
cermet	서멧
Trinity	트리니티
Wyoming County	와이오밍 카운티
Clifton	클리프턴
Nina	니나
Cedar Valley	시더 밸리
apron	에이프런
San Juan County	산후안 카운티
Zearing	지어링
Wolf	울프
Norfolk jacket	노퍽재킷
Harte	하트
Hoschton	호슈턴
Stafford	스태퍼드
Webster	웹스터
Murphy	머피
Moore	무어
Elmore	엘모어
Hooker	후커
Vinalhaven	바이널헤이븐
Loudoun	라우든
fashion model	패션모델
Metternich	메테르니히
parka	파카
East Dubuque	이스트 드뷰크
ironical	아이로니컬
interior	인테리어
Hamden	햄든
galley	갤리
Kersey	커지
Grand Junction	그랜드 정션
essence	에센스
recruit	리크루트
