prefix	input_text	target_text
kor to eng	제퍼슨 카운티	Jefferson County
eng to kor	Waco	웨이코
kor to eng	웨이코	Waco
eng to kor	Jannings	야닝스
kor to eng	야닝스	Jannings
eng to kor	Hoche	오슈
kor to eng	오슈	Hoche
eng to kor	Vichy Springs	빈치 스프링스
kor to eng	빈치 스프링스	Vichy Springs
eng to kor	ginger	진저
kor to eng	진저	ginger
eng to kor	Monroeville	먼로빌
kor to eng	먼로빌	Monroeville
eng to kor	Aurora	오로라
kor to eng	오로라	Aurora
eng to kor	Clarence	클래런스
kor to eng	클래런스	Clarence
eng to kor	Salvator	살바토르
kor to eng	살바토르	Salvator
eng to kor	Reid	리드
kor to eng	리드	Reid
eng to kor	Batchelor	배철러
kor to eng	배철러	Batchelor
eng to kor	Hyattstown	하야츠타운
kor to eng	하야츠타운	Hyattstown
eng to kor	Malbis	멜비스
kor to eng	멜비스	Malbis
eng to kor	Somers	소머즈
kor to eng	소머즈	Somers
eng to kor	roller conveyer	롤러컨베이어
kor to eng	롤러컨베이어	roller conveyer
eng to kor	Heber Springs	헤버스프링스
kor to eng	헤버스프링스	Heber Springs
eng to kor	stick	스틱
kor to eng	스틱	stick
eng to kor	Arden Hills	아덴 힐스
kor to eng	아덴 힐스	Arden Hills
eng to kor	pickoff play	픽오프플레이
kor to eng	픽오프플레이	pickoff play
eng to kor	El Lago	엘라고
kor to eng	엘라고	El Lago
eng to kor	Wightman	와이트먼
kor to eng	와이트먼	Wightman
eng to kor	Meeme	밈
kor to eng	밈	Meeme
eng to kor	supervision	슈퍼비전
kor to eng	슈퍼비전	supervision
eng to kor	Jackson County	잭슨 카운티
kor to eng	잭슨 카운티	Jackson County
eng to kor	SYSOP	시솝
kor to eng	시솝	SYSOP
eng to kor	Cogar	코가
kor to eng	코가	Cogar
eng to kor	Etowah County	에토와 카운티
kor to eng	에토와 카운티	Etowah County
eng to kor	Edgar	에드거
kor to eng	에드거	Edgar
eng to kor	Lund	런드
kor to eng	런드	Lund
eng to kor	oil shock	오일쇼크
kor to eng	오일쇼크	oil shock
eng to kor	Trevor	트레버
kor to eng	트레버	Trevor
eng to kor	Merriam	메리엄
kor to eng	메리엄	Merriam
eng to kor	niche	니치
kor to eng	니치	niche
eng to kor	Winn Parish	윈 패리시
kor to eng	윈 패리시	Winn Parish
eng to kor	staple fiber	스테이플파이버
kor to eng	스테이플파이버	staple fiber
eng to kor	burka	부르카
kor to eng	부르카	burka
eng to kor	Chinanet	차이나넷
kor to eng	차이나넷	Chinanet
eng to kor	Hamilton	해밀턴
kor to eng	해밀턴	Hamilton
eng to kor	Hildale	힐데일
kor to eng	힐데일	Hildale
eng to kor	Forkland	포크랜드
kor to eng	포크랜드	Forkland
eng to kor	Eddie	에디
kor to eng	에디	Eddie
eng to kor	Paramount	패러마운트
kor to eng	패러마운트	Paramount
eng to kor	Olema	올레마
kor to eng	올레마	Olema
eng to kor	Gayville	게이빌
kor to eng	게이빌	Gayville
eng to kor	Elk County	엘크 카운티
kor to eng	엘크 카운티	Elk County
eng to kor	Rucker plan	러커플랜
kor to eng	러커플랜	Rucker plan
eng to kor	Melanie	멜러니
kor to eng	멜러니	Melanie
eng to kor	Lumberton	럼버턴
kor to eng	럼버턴	Lumberton
eng to kor	all-night	올나이트
kor to eng	올나이트	all-night
eng to kor	Benjamin	벤자민
kor to eng	벤자민	Benjamin
eng to kor	Crystal River	크리스탈 리버
kor to eng	크리스탈 리버	Crystal River
eng to kor	Shandon	섄던
kor to eng	섄던	Shandon
eng to kor	Greasy	그리시
kor to eng	그리시	Greasy
eng to kor	Joe	조
kor to eng	조	Joe
eng to kor	Rosebud	로즈버드
kor to eng	로즈버드	Rosebud
eng to kor	Paeroa	파에로아
kor to eng	파에로아	Paeroa
eng to kor	long shot	롱숏
kor to eng	롱숏	long shot
eng to kor	Hayden	헤이든
kor to eng	헤이든	Hayden
eng to kor	megacycle	메가사이클
kor to eng	메가사이클	megacycle
eng to kor	Redmond	레드몬드
kor to eng	레드몬드	Redmond
eng to kor	Morrison	모리슨
kor to eng	모리슨	Morrison
eng to kor	microgram	마이크로그램
kor to eng	마이크로그램	microgram
eng to kor	native speaker	네이티브 스피커
kor to eng	네이티브 스피커	native speaker
eng to kor	Smith Village	스미스빌리지
kor to eng	스미스빌리지	Smith Village
eng to kor	Orchard	오처드
kor to eng	오처드	Orchard
eng to kor	Champaign	섐페인
kor to eng	섐페인	Champaign
eng to kor	Tollhouse	톨하우스
kor to eng	톨하우스	Tollhouse
eng to kor	Apple Valley	애플 밸리
kor to eng	애플 밸리	Apple Valley
eng to kor	Brown	브라운
kor to eng	브라운	Brown
eng to kor	Wikieup	위키업
kor to eng	위키업	Wikieup
eng to kor	Von Ormy	본 아미
kor to eng	본 아미	Von Ormy
eng to kor	Gunder	건더
kor to eng	건더	Gunder
eng to kor	interval	인터벌
kor to eng	인터벌	interval
eng to kor	Flemington	플레밍턴
kor to eng	플레밍턴	Flemington
eng to kor	Omagh	오마
kor to eng	오마	Omagh
eng to kor	Peach Creek	피치 크리크
kor to eng	피치 크리크	Peach Creek
eng to kor	Maben	메이븐
kor to eng	메이븐	Maben
eng to kor	chlorobutadiene	클로로부타디엔
kor to eng	클로로부타디엔	chlorobutadiene
eng to kor	Wellington	웰링턴
kor to eng	웰링턴	Wellington
eng to kor	David	데이비드
kor to eng	데이비드	David
eng to kor	Landgraff	랜드그라프
kor to eng	랜드그라프	Landgraff
eng to kor	Michael	마이클
kor to eng	마이클	Michael
eng to kor	TACAN	타칸
kor to eng	타칸	TACAN
eng to kor	Colorado	콜로라도
kor to eng	콜로라도	Colorado
eng to kor	Cuba	쿠바
kor to eng	쿠바	Cuba
eng to kor	Cairo	케이로
kor to eng	케이로	Cairo
eng to kor	wooly nylon	울리나일론
kor to eng	울리나일론	wooly nylon
eng to kor	Eckermann	에커만
kor to eng	에커만	Eckermann
eng to kor	Pine City	파인 시티
kor to eng	파인 시티	Pine City
eng to kor	kitchen towel	키친타월
kor to eng	키친타월	kitchen towel
eng to kor	Bouquet Canyon	부케 캐년
kor to eng	부케 캐년	Bouquet Canyon
eng to kor	Grants	그랜츠
kor to eng	그랜츠	Grants
eng to kor	Bruceville-Eddy	브루스빌에디
kor to eng	브루스빌에디	Bruceville-Eddy
eng to kor	Hephzibah	헤프지바
kor to eng	헤프지바	Hephzibah
eng to kor	Stahl	슈탈
kor to eng	슈탈	Stahl
eng to kor	Gould	굴드
kor to eng	굴드	Gould
eng to kor	Springville	스프링빌
kor to eng	스프링빌	Springville
eng to kor	Barry	배리
kor to eng	배리	Barry
eng to kor	Jewell	주얼
kor to eng	주얼	Jewell
eng to kor	rush	러시
kor to eng	러시	rush
eng to kor	Sampson	샘슨
kor to eng	샘슨	Sampson
eng to kor	ring pass	링패스
kor to eng	링패스	ring pass
eng to kor	Tuscumbia	터스컴비아
kor to eng	터스컴비아	Tuscumbia
eng to kor	youtube	유튜브
kor to eng	유튜브	youtube
eng to kor	Capitola	캐피톨라
kor to eng	캐피톨라	Capitola
eng to kor	Union Valley	유니언밸리
kor to eng	유니언밸리	Union Valley
eng to kor	Navajo	나바호
kor to eng	나바호	Navajo
eng to kor	Scotch terrier	스코치테리어
kor to eng	스코치테리어	Scotch terrier
eng to kor	Bossier Parish County	보시에 패리시
kor to eng	보시에 패리시	Bossier Parish County
eng to kor	tractor	트랙터
kor to eng	트랙터	tractor
eng to kor	Eryops	에리옵스
kor to eng	에리옵스	Eryops
eng to kor	Wegener	베게너
kor to eng	베게너	Wegener
eng to kor	Eiffel	에펠
kor to eng	에펠	Eiffel
eng to kor	tuberose	투베로즈
kor to eng	투베로즈	tuberose
eng to kor	Manicouagan	매니쿼건
kor to eng	매니쿼건	Manicouagan
eng to kor	drum scanner	드럼스캐너
kor to eng	드럼스캐너	drum scanner
eng to kor	Sunrise	선라이즈
kor to eng	선라이즈	Sunrise
eng to kor	East Fork	이스트포크
kor to eng	이스트포크	East Fork
eng to kor	nonimpact printer	논임팩트프린터
kor to eng	논임팩트프린터	nonimpact printer
eng to kor	Roanoke	로어노크
kor to eng	로어노크	Roanoke
eng to kor	creatine	크레아틴
kor to eng	크레아틴	creatine
eng to kor	Lincoln	링컨
kor to eng	링컨	Lincoln
eng to kor	flash powder	플래시파우더
kor to eng	플래시파우더	flash powder
eng to kor	Gordonsburg	고든즈버그
kor to eng	고든즈버그	Gordonsburg
eng to kor	Ralph	랠프
kor to eng	랠프	Ralph
eng to kor	slip ring	슬립 링
kor to eng	슬립 링	slip ring
eng to kor	second	세컨드
kor to eng	세컨드	second
eng to kor	Dar es Salaam	다르에스살람
kor to eng	다르에스살람	Dar es Salaam
eng to kor	Lufkin	러프킨
kor to eng	러프킨	Lufkin
eng to kor	Noonday	눈데이
kor to eng	눈데이	Noonday
eng to kor	Copan	코팬
kor to eng	코팬	Copan
eng to kor	water crane	워터크레인
kor to eng	워터크레인	water crane
eng to kor	George Wald	조지 월드
kor to eng	조지 월드	George Wald
eng to kor	Dauphin Island	더핀 아일랜드
kor to eng	더핀 아일랜드	Dauphin Island
eng to kor	sand mixer	샌드믹서
kor to eng	샌드믹서	sand mixer
eng to kor	Boulder	볼더
kor to eng	볼더	Boulder
eng to kor	Abbott	애벗
kor to eng	애벗	Abbott
eng to kor	ball mill	볼밀
kor to eng	볼밀	ball mill
eng to kor	Royal Center	로얄 센터
kor to eng	로얄 센터	Royal Center
eng to kor	diazine	다이아진
kor to eng	다이아진	diazine
eng to kor	Coffeen	커핀
kor to eng	커핀	Coffeen
eng to kor	spirit gum	스피릿검
kor to eng	스피릿검	spirit gum
eng to kor	Monroe County	먼로 카운티
kor to eng	먼로 카운티	Monroe County
eng to kor	quota system	쿼터시스템
kor to eng	쿼터시스템	quota system
eng to kor	Baltic	발틱
kor to eng	발틱	Baltic
eng to kor	ratchet	래칫
kor to eng	래칫	ratchet
eng to kor	Glyndon	글린던
kor to eng	글린던	Glyndon
eng to kor	Jinjiang	진지앙
kor to eng	진지앙	Jinjiang
eng to kor	Worthington	워딩턴
kor to eng	워딩턴	Worthington
eng to kor	Tony	토니
kor to eng	토니	Tony
eng to kor	Bulls Gap	불스갭
kor to eng	불스갭	Bulls Gap
eng to kor	r	알
kor to eng	알	r
eng to kor	Joseph	조지프
kor to eng	조지프	Joseph
eng to kor	Helper	헬퍼
kor to eng	헬퍼	Helper
eng to kor	Judson	저드슨
kor to eng	저드슨	Judson
eng to kor	Veihmeyer	비마이어
kor to eng	비마이어	Veihmeyer
eng to kor	Crystal	크리스탈
kor to eng	크리스탈	Crystal
eng to kor	Rock Hill	록 힐
kor to eng	록 힐	Rock Hill
eng to kor	Stanley	스탠리
kor to eng	스탠리	Stanley
eng to kor	Welge	웰지
kor to eng	웰지	Welge
eng to kor	Belize	벨리즈
kor to eng	벨리즈	Belize
eng to kor	Richardson	리처드슨
kor to eng	리처드슨	Richardson
eng to kor	Nornen	노르넨
kor to eng	노르넨	Nornen
eng to kor	galactose	갈락토오스
kor to eng	갈락토오스	galactose
eng to kor	Burkina Faso	부르키나파소
kor to eng	부르키나파소	Burkina Faso
eng to kor	Allegheny	앨러게니
kor to eng	앨러게니	Allegheny
eng to kor	New Portland	뉴 포틀랜드
kor to eng	뉴 포틀랜드	New Portland
eng to kor	bone china	본차이나
kor to eng	본차이나	bone china
eng to kor	Thornton	손턴
kor to eng	손턴	Thornton
eng to kor	video adapter	비디오 어댑터
kor to eng	비디오 어댑터	video adapter
eng to kor	Christmas card	크리스마스카드
kor to eng	크리스마스카드	Christmas card
eng to kor	Carnesville	칸즈빌
kor to eng	칸즈빌	Carnesville
eng to kor	Logan	로건
kor to eng	로건	Logan
eng to kor	Clay	클레이
kor to eng	클레이	Clay
eng to kor	apartment	아파트
kor to eng	아파트	apartment
eng to kor	Suslov	수슬로프
kor to eng	수슬로프	Suslov
eng to kor	Housman	하우스먼
kor to eng	하우스먼	Housman
eng to kor	Jean Dominique	장 도미니크
kor to eng	장 도미니크	Jean Dominique
eng to kor	long	롱
kor to eng	롱	long
eng to kor	Paradise	파라다이스
kor to eng	파라다이스	Paradise
eng to kor	Murray	머리
kor to eng	머리	Murray
eng to kor	Tewksbury	턱스베리
kor to eng	턱스베리	Tewksbury
eng to kor	Hoolehua	몰로카이
kor to eng	몰로카이	Hoolehua
eng to kor	Doss	도스
kor to eng	도스	Doss
eng to kor	Van Buren County	밴 뷰런 카운티
kor to eng	밴 뷰런 카운티	Van Buren County
eng to kor	Buffalo	버펄로
kor to eng	버펄로	Buffalo
eng to kor	rubber racket	러버라켓
kor to eng	러버라켓	rubber racket
eng to kor	GSI	지에스아이
kor to eng	지에스아이	GSI
eng to kor	Venturi	벤투리
kor to eng	벤투리	Venturi
eng to kor	Simon Elliott	사이먼 엘리엇
kor to eng	사이먼 엘리엇	Simon Elliott
eng to kor	satellite	새틀라이트
kor to eng	새틀라이트	satellite
eng to kor	Ophella	오필리아
kor to eng	오필리아	Ophella
eng to kor	semicolon	세미콜론
kor to eng	세미콜론	semicolon
eng to kor	Battle Creek	배틀크리크
kor to eng	배틀크리크	Battle Creek
eng to kor	Alan B	앨런
kor to eng	앨런	Alan B
eng to kor	Enterprise	엔터프라이즈
kor to eng	엔터프라이즈	Enterprise
eng to kor	left wing	레프트윙
kor to eng	레프트윙	left wing
eng to kor	ready go	레디고
kor to eng	레디고	ready go
eng to kor	Courtois	쿠르투아
kor to eng	쿠르투아	Courtois
eng to kor	episome	에피솜
kor to eng	에피솜	episome
eng to kor	Darryl F	대릴
kor to eng	대릴	Darryl F
eng to kor	Babbitt	배빗
kor to eng	배빗	Babbitt
eng to kor	Le Flore	러플로어
kor to eng	러플로어	Le Flore
eng to kor	Menominee	메노미니
kor to eng	메노미니	Menominee
eng to kor	anilide	아닐리드
kor to eng	아닐리드	anilide
eng to kor	Miller	밀러
kor to eng	밀러	Miller
eng to kor	sand-ski	샌드스키
kor to eng	샌드스키	sand-ski
eng to kor	death mask	데스마스크
kor to eng	데스마스크	death mask
eng to kor	Easton	이스턴
kor to eng	이스턴	Easton
eng to kor	sausage	소시지
kor to eng	소시지	sausage
eng to kor	Bandera County	반데라 카운티
kor to eng	반데라 카운티	Bandera County
eng to kor	metal tape	메탈테이프
kor to eng	메탈테이프	metal tape
eng to kor	Springvale	스프링베일
kor to eng	스프링베일	Springvale
eng to kor	Willoughby Hills	윌러비 힐스
kor to eng	윌러비 힐스	Willoughby Hills
eng to kor	Vincent	빈센트
kor to eng	빈센트	Vincent
eng to kor	Burkina Faso	부르키나파소
kor to eng	부르키나파소	Burkina Faso
eng to kor	Cristobal	크리스토벌
kor to eng	크리스토벌	Cristobal
eng to kor	Aneta	아네타
kor to eng	아네타	Aneta
eng to kor	belt conveyer	벨트컨베이어
kor to eng	벨트컨베이어	belt conveyer
eng to kor	Joshua McAdams	조슈아 매캐덤스
kor to eng	조슈아 매캐덤스	Joshua McAdams
eng to kor	Savage	새비지
kor to eng	새비지	Savage
eng to kor	Fostoria	포스토리아
kor to eng	포스토리아	Fostoria
eng to kor	Honaker	호나커
kor to eng	호나커	Honaker
eng to kor	Campville	캠프빌
kor to eng	캠프빌	Campville
eng to kor	Glen Ridge	글렌리지
kor to eng	글렌리지	Glen Ridge
eng to kor	SNOBOL	스노볼
kor to eng	스노볼	SNOBOL
eng to kor	Butler	버틀러
kor to eng	버틀러	Butler
eng to kor	adinole	아디놀
kor to eng	아디놀	adinole
eng to kor	Manus	마누스
kor to eng	마누스	Manus
eng to kor	Sallisaw	샐리소
kor to eng	샐리소	Sallisaw
eng to kor	Apple Valley	애플밸리
kor to eng	애플밸리	Apple Valley
eng to kor	Howardwick	하워드윅
kor to eng	하워드윅	Howardwick
eng to kor	Waynesville	웨인즈빌
kor to eng	웨인즈빌	Waynesville
eng to kor	Sallie	샐리
kor to eng	샐리	Sallie
eng to kor	Chippewa	칩페와
kor to eng	칩페와	Chippewa
eng to kor	Jefferson County	제퍼슨 카운티
kor to eng	제퍼슨 카운티	Jefferson County
eng to kor	color slide	컬러슬라이드
kor to eng	컬러슬라이드	color slide
eng to kor	jab	잽
kor to eng	잽	jab
eng to kor	slow video	슬로비디오
kor to eng	슬로비디오	slow video
eng to kor	Conrad	콘래드
kor to eng	콘래드	Conrad
eng to kor	Gary	게리
kor to eng	게리	Gary
eng to kor	setter	세터
kor to eng	세터	setter
eng to kor	pregnance	프레그넌스
kor to eng	프레그넌스	pregnance
eng to kor	Elysian Fields	엘리시안 필즈
kor to eng	엘리시안 필즈	Elysian Fields
eng to kor	Aeneis	아이네이스
kor to eng	아이네이스	Aeneis
eng to kor	Lamb	램
kor to eng	램	Lamb
eng to kor	estradiol	에스트라디올
kor to eng	에스트라디올	estradiol
eng to kor	Cuiaba	쿠이아바
kor to eng	쿠이아바	Cuiaba
eng to kor	FDA	에프디에이
kor to eng	에프디에이	FDA
eng to kor	Scotland County	스코틀랜드 카운티
kor to eng	스코틀랜드 카운티	Scotland County
eng to kor	Muenzer	뮨저
kor to eng	뮨저	Muenzer
eng to kor	Harpers Ferry	하퍼스 페리
kor to eng	하퍼스 페리	Harpers Ferry
eng to kor	Aden	아덴
kor to eng	아덴	Aden
eng to kor	Borchardt	보르하르트
kor to eng	보르하르트	Borchardt
eng to kor	computer	컴퓨터
kor to eng	컴퓨터	computer
eng to kor	skydiving	스카이다이빙
kor to eng	스카이다이빙	skydiving
eng to kor	Wedekind	베데킨트
kor to eng	베데킨트	Wedekind
eng to kor	purine	푸린
kor to eng	푸린	purine
eng to kor	Mehmet	메메트
kor to eng	메메트	Mehmet
eng to kor	oxydol	옥시돌
kor to eng	옥시돌	oxydol
eng to kor	Guitry	기트리
kor to eng	기트리	Guitry
eng to kor	Red Wing	레드윙
kor to eng	레드윙	Red Wing
eng to kor	tetrodotoxin	테트로도톡신
kor to eng	테트로도톡신	tetrodotoxin
eng to kor	aplite	애플라이트
kor to eng	애플라이트	aplite
eng to kor	Boys Town	보이스타운
kor to eng	보이스타운	Boys Town
eng to kor	Peter	피터
kor to eng	피터	Peter
eng to kor	Erinn	에린
kor to eng	에린	Erinn
eng to kor	Alma	앨마
kor to eng	앨마	Alma
eng to kor	Point Comfort	포인트 컴포트
kor to eng	포인트 컴포트	Point Comfort
eng to kor	John	존
kor to eng	존	John
eng to kor	Portage County	포티지 카운티
kor to eng	포티지 카운티	Portage County
eng to kor	micromodule	마이크로모듈
kor to eng	마이크로모듈	micromodule
eng to kor	Matt	맷
kor to eng	맷	Matt
eng to kor	Cha	차
kor to eng	차	Cha
eng to kor	Good Hope	굿호프
kor to eng	굿호프	Good Hope
eng to kor	Paris	패리스
kor to eng	패리스	Paris
eng to kor	Johns Creek	존스크리크
kor to eng	존스크리크	Johns Creek
eng to kor	La Vista	라 비스타
kor to eng	라 비스타	La Vista
eng to kor	Broomfield County	브룸필드 카운티
kor to eng	브룸필드 카운티	Broomfield County
eng to kor	Bearsdale	베어즈데일
kor to eng	베어즈데일	Bearsdale
eng to kor	tilapia	틸라피아
kor to eng	틸라피아	tilapia
eng to kor	cut glass	컷글라스
kor to eng	컷글라스	cut glass
eng to kor	Levels	레벨스
kor to eng	레벨스	Levels
eng to kor	Vancouver	밴쿠버
kor to eng	밴쿠버	Vancouver
eng to kor	Yuli Tamir	율리 타미르
kor to eng	율리 타미르	Yuli Tamir
eng to kor	Bromley	브롬리
kor to eng	브롬리	Bromley
eng to kor	Hortense	호텐스
kor to eng	호텐스	Hortense
eng to kor	Rhazes	라제스
kor to eng	라제스	Rhazes
eng to kor	Centerville	센터빌
kor to eng	센터빌	Centerville
eng to kor	hacker	해커
kor to eng	해커	hacker
eng to kor	Sullivan	설리번
kor to eng	설리번	Sullivan
eng to kor	MIDI	미디
kor to eng	미디	MIDI
eng to kor	Ochopee	오초피
kor to eng	오초피	Ochopee
eng to kor	Franklin County	프랭클린 카운티
kor to eng	프랭클린 카운티	Franklin County
eng to kor	Wilson	윌슨
kor to eng	윌슨	Wilson
eng to kor	Weare	위어
kor to eng	위어	Weare
eng to kor	Hamshire	햄셔
kor to eng	햄셔	Hamshire
eng to kor	Hammel	햄멜
kor to eng	햄멜	Hammel
eng to kor	Walsh	월시
kor to eng	월시	Walsh
eng to kor	apt	앱트
kor to eng	앱트	apt
eng to kor	polyamide	폴리아미드
kor to eng	폴리아미드	polyamide
eng to kor	San Bruno	샌 부르노
kor to eng	샌 부르노	San Bruno
eng to kor	Houston	휴스턴
kor to eng	휴스턴	Houston
eng to kor	rudbeckia	루드베키아
kor to eng	루드베키아	rudbeckia
eng to kor	toss batting	토스배팅
kor to eng	토스배팅	toss batting
eng to kor	Montgomery County	몽고메리 카운티
kor to eng	몽고메리 카운티	Montgomery County
eng to kor	fantasy	판타지
kor to eng	판타지	fantasy
eng to kor	Cassai	카사이
kor to eng	카사이	Cassai
eng to kor	Janesville	제인스빌
kor to eng	제인스빌	Janesville
eng to kor	guanine	구아닌
kor to eng	구아닌	guanine
eng to kor	Double Oak	더블오크
kor to eng	더블오크	Double Oak
eng to kor	Old Station	올드 스테이션
kor to eng	올드 스테이션	Old Station
eng to kor	Galsworthy	골즈워디
kor to eng	골즈워디	Galsworthy
eng to kor	supporter	서포터
kor to eng	서포터	supporter
eng to kor	College Station	칼리지스테이션
kor to eng	칼리지스테이션	College Station
eng to kor	Stephentown	스티븐타운
kor to eng	스티븐타운	Stephentown
eng to kor	DeKalb	디캘브
kor to eng	디캘브	DeKalb
eng to kor	McNeal	맥닐
kor to eng	맥닐	McNeal
eng to kor	Johann Heinrich Wilhelm	요한 하인리히 빌헬름
kor to eng	요한 하인리히 빌헬름	Johann Heinrich Wilhelm
eng to kor	Chillicothe	칠리코시
kor to eng	칠리코시	Chillicothe
eng to kor	Anderson County	앤더슨 카운티
kor to eng	앤더슨 카운티	Anderson County
eng to kor	Homer	호머
kor to eng	호머	Homer
eng to kor	Kenosha County	커노샤 카운티
kor to eng	커노샤 카운티	Kenosha County
eng to kor	Odell	오델
kor to eng	오델	Odell
eng to kor	Celina	셀리나
kor to eng	셀리나	Celina
eng to kor	miniature	미니어처
kor to eng	미니어처	miniature
eng to kor	Savitr	사비트르
kor to eng	사비트르	Savitr
eng to kor	ytterbium	이테르븀
kor to eng	이테르븀	ytterbium
eng to kor	Mayer	메이여
kor to eng	메이여	Mayer
eng to kor	Jonathan Lockwood	조너선 록우드
kor to eng	조너선 록우드	Jonathan Lockwood
eng to kor	best member	베스트멤버
kor to eng	베스트멤버	best member
eng to kor	Newbold	뉴볼드
kor to eng	뉴볼드	Newbold
eng to kor	packing	패킹
kor to eng	패킹	packing
eng to kor	Knies	크니스
kor to eng	크니스	Knies
eng to kor	Stein	스타인
kor to eng	스타인	Stein
eng to kor	Witt	위트
kor to eng	위트	Witt
eng to kor	Lynn	린
kor to eng	린	Lynn
eng to kor	Madison	매디슨
kor to eng	매디슨	Madison
eng to kor	manometer	마노미터
kor to eng	마노미터	manometer
eng to kor	Dick	딕
kor to eng	딕	Dick
eng to kor	shocking	쇼킹
kor to eng	쇼킹	shocking
eng to kor	Jasper County	재스퍼 카운티
kor to eng	재스퍼 카운티	Jasper County
eng to kor	colloid	콜로이드
kor to eng	콜로이드	colloid
eng to kor	audiotex	오디오텍스
kor to eng	오디오텍스	audiotex
eng to kor	South Amana	사우스 아마나
kor to eng	사우스 아마나	South Amana
eng to kor	Hudson	허드슨
kor to eng	허드슨	Hudson
eng to kor	Muleshoe	뮬슈
kor to eng	뮬슈	Muleshoe
eng to kor	Dillon	딜런
